Prospect ID,Lead Number,Lead Origin,Lead Source,Do Not Email,Do Not Call,Converted,TotalVisits,Total Time Spent on Website,Page Views Per Visit,Last Activity,Country,Specialization,How did you hear about X Education,What is your current occupation,What matters most to you in choosing a course,Search,Magazine,Newspaper Article,X Education Forums,Newspaper,Digital Advertisement,Through Recommendations,Receive More Updates About Our Courses,Tags,Lead Quality,Update me on Supply Chain Content,Get updates on DM Content,Lead Profile,City,Asymmetrique Activity Index,Asymmetrique Profile Index,Asymmetrique Activity Score,Asymmetrique Profile Score,I agree to pay the amount through cheque,A free copy of Mastering The Interview,Last Notable Activity
88867067-3750-4753-8d33-1c7d1db53b5e,660558,Landing Page Submission,Organic Search,No,No,0,5.0,170,5.0,Email Opened,India,Business Administration,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,,No,No,Select,Thane & Outskirts,02.Medium,01.High,14.0,17.0,No,Yes,Email Opened
a8531c22-fcf1-48f8-a711-fb5abf98ad87,660553,Landing Page Submission,Direct Traffic,Yes,No,0,1.0,481,1.0,Email Bounced,Russia,Business Administration,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,,,No,No,Select,Select,01.High,01.High,16.0,17.0,No,No,Email Bounced
25f4ac14-ff4b-4cd2-9c61-b44c85e19c8f,660547,API,Organic Search,No,No,1,6.0,1012,6.0,Email Opened,India,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Select,Select,02.Medium,02.Medium,14.0,15.0,No,No,Email Opened
3abb7c77-1634-4083-9a9f-861068220611,660540,API,Olark Chat,No,No,0,0.0,0,0.0,Olark Chat Conversation,,,,,,No,No,No,No,No,No,No,No,,,No,No,,,01.High,02.Medium,17.0,15.0,No,No,Modified
e5c3beca-a0b6-4b3f-8c01-0919fb9ca3f2,660534,API,Referral Sites,No,No,0,6.0,973,6.0,Email Link Clicked,India,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Interested in other courses,Might be,No,No,Select,Select,02.Medium,02.Medium,13.0,13.0,No,No,Modified
82cb5fb0-2d97-4a39-a630-ab5fe2e7f18c,660522,Landing Page Submission,Google,No,No,1,6.0,1688,3.0,Page Visited on Website,India,Marketing Management,Multiple Sources,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,,,No,No,Select,Mumbai,02.Medium,01.High,15.0,18.0,No,No,Page Visited on Website
4512c16a-e96a-4459-b9ec-c7d8fe8c4880,660509,API,Organic Search,No,No,0,3.0,98,3.0,Page Visited on Website,India,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Interested in other courses,Worst,No,No,Select,Select,02.Medium,02.Medium,14.0,15.0,No,No,Modified
c4419c99-b002-408b-a6fd-fa100716592c,660479,Landing Page Submission,Google,No,No,0,1.0,233,1.0,Unreachable,India,Media and Advertising,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Interested in other courses,Not Sure,No,No,Select,Mumbai,02.Medium,01.High,13.0,17.0,No,No,Modified
fd71ab5b-53b8-4105-9960-efedc44962fa,660478,API,Google,No,No,0,4.0,377,1.33,Page Visited on Website,India,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,In confusion whether part time or DLP,Worst,No,No,Potential Lead,Select,02.Medium,02.Medium,15.0,16.0,No,No,Modified
8fd38b83-5c32-4277-bcfb-499f34a01c56,660471,Landing Page Submission,Google,No,No,1,1.0,1013,1.0,Converted to Lead,India,"Banking, Investment And Insurance",Advertisements,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Potential Lead,Mumbai,02.Medium,01.High,15.0,20.0,No,No,Modified
ecbc6e69-29a9-44bf-804a-13079ef301bc,660461,Landing Page Submission,Google,No,No,0,4.0,771,4.0,Email Link Clicked,India,Finance Management,Student of SomeSchool,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Not Sure,No,No,Select,Mumbai,02.Medium,01.High,14.0,18.0,No,No,Email Link Clicked
ecd117ca-375f-49ea-afd6-b52b84d00c69,660458,API,Google,No,No,1,6.0,1137,1.5,Email Opened,India,Marketing Management,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Potential Lead,Mumbai,02.Medium,01.High,14.0,18.0,No,Yes,Email Opened
31c326f0-4a9b-43a6-9006-99d3830fbcae,660447,Landing Page Submission,Google,No,No,1,3.0,1068,3.0,Form Submitted on Website,India,Travel and Tourism,Other,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Busy,Not Sure,No,No,Select,Mumbai,02.Medium,02.Medium,14.0,16.0,No,No,Modified
c494aca4-8c8e-4081-9784-41eb6346015e,660432,Landing Page Submission,Organic Search,No,No,1,4.0,1000,2.0,Email Opened,India,Finance Management,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Potential Lead,Other Cities,03.Low,01.High,11.0,18.0,No,Yes,Email Opened
6d143c0e-abae-425f-a2c0-52c2946cbd45,660424,Landing Page Submission,Google,No,No,1,6.0,1315,6.0,Email Opened,India,Media and Advertising,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Potential Lead,Mumbai,02.Medium,01.High,15.0,19.0,No,No,Email Opened
8247051c-f838-4a41-b39c-1f0b44c3d5e6,660423,Landing Page Submission,Direct Traffic,No,No,0,5.0,182,5.0,Email Opened,India,Select,Select,Student,Better Career Prospects,No,No,No,No,No,No,No,No,switched off,,No,No,Select,Mumbai,02.Medium,01.High,13.0,18.0,No,No,Email Opened
b3455e2e-8236-478a-b1aa-666ad3381722,660410,API,Google,No,No,1,3.0,78,3.0,Unreachable,India,International Business,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Potential Lead,Mumbai,01.High,01.High,16.0,18.0,No,No,Unreachable
da8c5ce5-52b5-4a4e-bf75-e533d2aca52c,660402,Landing Page Submission,Direct Traffic,No,No,1,7.0,1174,3.5,Email Opened,India,Human Resource Management,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Select,Mumbai,02.Medium,01.High,15.0,18.0,No,Yes,Email Opened
d2055a36-b268-43a0-beeb-9a715f6a660d,660374,API,Google,No,No,0,3.0,88,1.5,Email Opened,India,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Interested in other courses,Not Sure,No,No,Select,Select,02.Medium,02.Medium,13.0,15.0,No,No,Modified
c7d82991-3477-40ca-a616-db2d09228a55,660361,API,Referral Sites,No,No,0,4.0,223,2.0,Page Visited on Website,India,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Interested in other courses,Low in Relevance,No,No,Select,Select,02.Medium,02.Medium,15.0,13.0,No,No,Modified
5af0914a-fa65-48e1-b11e-b44849206dc3,660339,API,Organic Search,No,No,0,3.0,74,1.5,Email Opened,India,,,,,No,No,No,No,No,No,No,No,,,No,No,,,03.Low,02.Medium,12.0,15.0,No,No,Modified
bc19e116-132c-4e00-a3fa-caa1ddda2f4e,660333,Landing Page Submission,Organic Search,No,No,1,4.0,16,2.0,Page Visited on Website,India,E-COMMERCE,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Potential Lead,Mumbai,02.Medium,01.High,15.0,17.0,No,Yes,Modified
30422ea1-36fe-465e-9e68-41ee190fefb3,660321,API,Referral Sites,No,No,1,3.0,98,3.0,Email Opened,India,Human Resource Management,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Potential Lead,Thane & Outskirts,02.Medium,02.Medium,14.0,15.0,No,No,Modified
a8ecfc52-9988-498a-9a21-df747891b847,660312,Landing Page Submission,Google,No,No,0,4.0,1622,4.0,Unreachable,India,Operations Management,Word Of Mouth,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Might be,No,No,Select,Mumbai,03.Low,01.High,12.0,18.0,No,No,Modified
e60a54bc-0816-430e-a99a-019a8b5a27e5,660267,Landing Page Submission,Google,No,No,1,5.0,563,5.0,Email Opened,India,Finance Management,Student of SomeSchool,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Potential Lead,Mumbai,02.Medium,01.High,13.0,20.0,No,No,Email Opened
e50b7515-b5a5-4691-a450-5e28ba99b472,660255,API,Google,No,No,0,2.0,310,2.0,Email Link Clicked,India,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Not Sure,No,No,Select,Select,02.Medium,02.Medium,14.0,15.0,No,No,Email Link Clicked
d6686032-c65e-4495-a0f4-ba7471209356,660236,Landing Page Submission,Google,No,No,1,4.0,25,4.0,Email Opened,India,Operations Management,Email,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Potential Lead,Other Cities of Maharashtra,02.Medium,01.High,14.0,19.0,No,No,Email Opened
daebea93-20bd-48be-b89b-85c7711ca0d7,660235,API,Direct Traffic,No,No,0,3.0,342,3.0,Email Opened,India,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Busy,,No,No,Select,Select,02.Medium,02.Medium,14.0,15.0,No,No,Email Opened
3ec75559-60f8-46f0-9198-bd3d05c464aa,660222,Landing Page Submission,Organic Search,Yes,No,0,7.0,38,7.0,Unsubscribed,India,Retail Management,Word Of Mouth,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Busy,Not Sure,No,No,Other Leads,Mumbai,02.Medium,01.High,13.0,18.0,No,Yes,Unsubscribed
d262e52a-b8e1-4164-b869-bb199ddf75a9,660215,API,Google,No,No,0,5.0,199,5.0,Email Opened,India,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,,No,No,Select,Select,02.Medium,02.Medium,14.0,15.0,No,No,Email Opened
abc432ac-7393-4312-b49f-c43702397416,660203,Landing Page Submission,Google,No,No,0,5.0,222,5.0,Email Opened,India,Finance Management,Online Search,,,No,No,No,No,No,No,No,No,,,No,No,,Mumbai,02.Medium,01.High,13.0,18.0,No,No,Email Opened
85195b85-b384-4745-8e50-719566f70f52,660194,Landing Page Submission,Direct Traffic,No,No,0,6.0,275,3.0,Email Opened,India,Operations Management,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,in touch with EINS,,No,No,Select,Mumbai,03.Low,01.High,10.0,18.0,No,Yes,Email Opened
fd31b6df-f961-43ba-8e81-618ce5aabfe5,660180,Landing Page Submission,Google,No,No,0,4.0,287,2.0,Email Opened,India,Marketing Management,Other,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Might be,No,No,Select,Mumbai,02.Medium,01.High,13.0,18.0,No,No,Email Opened
18633077-5162-4cc6-8728-bc25f7a32fd1,660174,Landing Page Submission,Direct Traffic,No,No,0,2.0,547,2.0,Email Opened,India,Finance Management,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Already a student,High in Relevance,No,No,Potential Lead,Mumbai,02.Medium,01.High,15.0,20.0,No,Yes,Email Opened
3f04fd93-2884-45f6-a4fc-f3b6f234554b,660153,API,Olark Chat,No,No,0,0.0,0,0.0,Olark Chat Conversation,,,,,,No,No,No,No,No,No,No,No,,,No,No,,,01.High,02.Medium,17.0,15.0,No,No,Modified
86681269-67b1-4909-90c0-216136535815,660149,API,Google,No,No,0,6.0,1225,6.0,Page Visited on Website,India,Supply Chain Management,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Diploma holder (Not Eligible),Worst,No,No,Other Leads,Thane & Outskirts,03.Low,02.Medium,12.0,15.0,No,No,Modified
319325b3-50b3-45d0-b730-c9df0b30b9ea,660128,API,Olark Chat,No,No,0,0.0,0,0.0,Olark Chat Conversation,,,,,,No,No,No,No,No,No,No,No,,,No,No,,,01.High,02.Medium,17.0,15.0,No,No,Modified
2def8175-7a88-405a-a932-669cacf60230,660087,API,Olark Chat,No,No,1,0.0,0,0.0,Email Opened,,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Potential Lead,Thane & Outskirts,02.Medium,02.Medium,15.0,16.0,No,No,Modified
1f13cede-ebf7-4e65-84ee-7d76e86a9094,660070,Landing Page Submission,Google,No,No,0,5.0,160,5.0,Email Opened,India,Business Administration,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Already a student,,No,No,Select,Mumbai,01.High,01.High,17.0,18.0,No,No,Email Opened
8597dacd-0b33-4b4f-ad9e-a9df020afd48,660069,Landing Page Submission,Organic Search,No,No,0,6.0,394,2.0,Unreachable,India,E-COMMERCE,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Might be,No,No,Select,Mumbai,02.Medium,02.Medium,13.0,15.0,No,Yes,Modified
833153b1-e44b-4260-a4cc-5ef310cc548c,660050,API,Google,No,No,0,6.0,286,1.5,Olark Chat Conversation,India,,,,,No,No,No,No,No,No,No,No,,,No,No,,,01.High,02.Medium,16.0,15.0,No,No,Modified
b9984279-2d76-41e0-a5f3-e14d6ff68f20,660048,API,Organic Search,No,No,0,7.0,96,2.33,Email Opened,India,,,,,No,No,No,No,No,No,No,No,,,No,No,,,02.Medium,02.Medium,13.0,15.0,No,No,Email Opened
165a8ed0-7155-4b32-bb21-b356c51e0412,660030,API,Organic Search,No,No,0,2.0,12,2.0,Email Opened,India,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,switched off,,No,No,Select,Select,02.Medium,02.Medium,15.0,15.0,No,No,Email Opened
59e722da-edff-43d9-af61-f5c8bcc986c4,659998,Landing Page Submission,Referral Sites,No,No,1,13.0,436,13.0,Form Submitted on Website,India,IT Projects Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Busy,Low in Relevance,No,No,Potential Lead,Other Metro Cities,02.Medium,02.Medium,15.0,13.0,No,No,Modified
171defdc-6c7b-4486-9a3b-527de447d2d5,659963,API,Referral Sites,No,No,1,8.0,903,8.0,Page Visited on Website,India,Finance Management,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Potential Lead,Other Cities of Maharashtra,01.High,02.Medium,16.0,15.0,No,No,Page Visited on Website
d93bfdc0-4719-4f0a-ad6b-31070823dfbb,659942,Landing Page Submission,Organic Search,No,No,0,17.0,409,8.5,Email Opened,India,Human Resource Management,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Interested in other courses,,No,No,Select,Mumbai,02.Medium,01.High,14.0,18.0,No,Yes,Modified
d22bfe40-a444-4e97-b6b7-ccf40117710b,659937,Landing Page Submission,Referral Sites,No,No,0,11.0,685,5.5,Email Opened,India,Services Excellence,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Graduation in progress,Not Sure,No,No,Select,Thane & Outskirts,03.Low,02.Medium,11.0,13.0,No,Yes,Email Opened
b90b70b9-5e60-41a5-87da-5eb753fc3391,659931,API,Google,No,No,0,4.0,213,4.0,Form Submitted on Website,India,International Business,Multiple Sources,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Interested in other courses,Not Sure,No,No,Other Leads,Mumbai,02.Medium,02.Medium,13.0,16.0,No,No,Modified
aa613715-ff22-429d-9fbb-92da56b827aa,659925,API,Olark Chat,No,No,0,0.0,0,0.0,Email Opened,,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,,No,No,Select,Select,02.Medium,02.Medium,14.0,15.0,No,No,Email Opened
0327a12a-51cb-4782-a029-cc824e614833,659918,API,Organic Search,No,No,1,7.0,1468,3.5,Page Visited on Website,India,Marketing Management,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Potential Lead,Mumbai,02.Medium,01.High,15.0,18.0,No,No,Modified
dba70a60-f322-4372-b7d5-3d24026a4750,659896,API,Olark Chat,No,No,0,0.0,0,0.0,Email Link Clicked,,,,,,No,No,No,No,No,No,No,No,,,No,No,,,02.Medium,02.Medium,15.0,15.0,No,No,Modified
3ee81e25-e280-428d-94a8-af0178917bf5,659889,Landing Page Submission,Direct Traffic,No,No,1,4.0,1435,4.0,Email Opened,India,Operations Management,Select,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Potential Lead,Other Cities,03.Low,01.High,12.0,18.0,No,Yes,Email Opened
a66b2a39-2f12-4eb4-b6e3-065d88ccf980,659875,Landing Page Submission,Google,No,No,1,1.0,157,1.0,Converted to Lead,India,Hospitality Management,Word Of Mouth,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Select,Other Cities of Maharashtra,02.Medium,02.Medium,15.0,14.0,No,No,Modified
ee859f2e-a35f-4d2e-980e-8163da8ca667,659853,API,Google,No,No,1,3.0,885,1.5,Had a Phone Conversation,India,Operations Management,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Potential Lead,Mumbai,02.Medium,01.High,15.0,18.0,No,No,Had a Phone Conversation
34571884-9e2f-404c-bc30-d5e09309b06a,659849,API,Olark Chat,No,No,1,0.0,0,0.0,Email Opened,,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Potential Lead,Other Cities of Maharashtra,02.Medium,02.Medium,15.0,16.0,No,No,Modified
002233e4-c3d5-4a78-b64e-fa9b7fdef393,659833,API,Olark Chat,No,No,0,0.0,0,0.0,View in browser link Clicked,,Finance Management,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Interested in other courses,Low in Relevance,No,No,Other Leads,Select,03.Low,02.Medium,12.0,14.0,No,No,Modified
991c2560-128d-4222-a4c6-5aa393c4fafa,659830,API,Olark Chat,No,No,0,0.0,0,0.0,Olark Chat Conversation,,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,,No,No,Select,Select,02.Medium,02.Medium,15.0,15.0,No,No,Modified
671f2615-8210-4792-abdd-a1588060cd27,659819,Landing Page Submission,Direct Traffic,No,No,0,1.0,1710,1.0,Converted to Lead,India,Retail Management,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Already a student,Worst,No,No,Potential Lead,Thane & Outskirts,01.High,01.High,16.0,19.0,No,Yes,Modified
ac430bc0-d235-4f54-9c2b-3d1b7e52849e,659820,Landing Page Submission,Direct Traffic,No,No,0,4.0,219,4.0,Email Opened,India,Business Administration,Word Of Mouth,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,,No,No,Select,Mumbai,02.Medium,01.High,13.0,18.0,No,No,Email Opened
fe6dff62-8217-428b-876a-ec931f251f63,659806,Landing Page Submission,Referral Sites,Yes,No,0,3.0,111,3.0,Email Bounced,India,International Business,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Not Sure,No,No,Select,Other Metro Cities,02.Medium,02.Medium,13.0,15.0,No,Yes,Modified
f8497fef-9593-4bb7-898c-9f736a3b67f8,659784,API,Organic Search,No,No,0,6.0,224,6.0,Page Visited on Website,India,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,switched off,Not Sure,No,No,Select,Select,02.Medium,02.Medium,14.0,15.0,No,No,Modified
2cd9ea36-23d7-49c3-b255-a9361a4fa81b,659782,Landing Page Submission,Direct Traffic,No,No,0,5.0,224,1.67,Page Visited on Website,India,Operations Management,,,,No,No,No,No,No,No,No,No,,,No,No,,Other Cities of Maharashtra,02.Medium,01.High,13.0,17.0,No,Yes,Page Visited on Website
0a943ad9-f3d5-46d7-aca0-3fdab53da0e7,659779,Landing Page Submission,Direct Traffic,No,No,1,2.0,1071,2.0,Email Opened,India,Marketing Management,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Lost to EINS,Not Sure,No,No,Select,Other Cities of Maharashtra,03.Low,01.High,12.0,17.0,No,Yes,Email Opened
a739f33a-7d4d-4c4e-9c9c-3c30e1f48940,659727,Landing Page Submission,Google,No,No,1,6.0,595,3.0,Email Opened,India,"Banking, Investment And Insurance",Word Of Mouth,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Potential Lead,Mumbai,02.Medium,01.High,14.0,20.0,No,No,Email Opened
895d4905-f534-4f18-915b-8d239a72b5dc,659722,Lead Add Form,Welingak Website,No,No,1,,1096,,,,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,,,No,No,Select,Select,02.Medium,02.Medium,14.0,15.0,No,No,Modified
1f9032cd-77f4-453c-b84b-edd1aea26b70,659720,API,Referral Sites,No,No,0,4.0,520,4.0,Email Opened,India,Operations Management,Student of SomeSchool,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,in touch with EINS,,No,No,Select,Mumbai,03.Low,02.Medium,10.0,15.0,No,No,Email Opened
3a0ce10f-d2c1-4213-a2bc-4f97bcd29699,659710,Lead Add Form,Reference,No,No,1,,705,,,,Hospitality Management,Select,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Potential Lead,Thane & Outskirts,02.Medium,02.Medium,14.0,16.0,No,No,Modified
d4d4ee0a-fea2-4680-b2ea-b24de9fcf0be,659708,API,Google,No,No,0,2.0,393,2.0,Email Opened,India,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Not Sure,No,No,Other Leads,Select,02.Medium,02.Medium,14.0,14.0,No,No,Email Opened
277ad6a6-4565-4a18-a1ff-e46e03f22663,659705,Lead Add Form,Welingak Website,No,No,1,,346,,,,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,,,No,No,Select,Select,02.Medium,02.Medium,14.0,15.0,No,No,Modified
a9b219c8-a9c2-4d13-9a4d-46cfe4f70eeb,659704,API,Olark Chat,No,No,1,0.0,0,0.0,Email Link Clicked,,Operations Management,Select,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Potential Lead,Select,02.Medium,02.Medium,15.0,16.0,No,No,Email Link Clicked
09526992-b1fb-4763-8cca-355bc5dac5e3,659700,API,Olark Chat,No,No,0,0.0,0,0.0,Olark Chat Conversation,,,,,,No,No,No,No,No,No,No,No,,,No,No,,,01.High,02.Medium,17.0,15.0,No,No,Modified
ecbf9b02-90a1-4b16-b330-6d958dcfcdb2,659696,Landing Page Submission,Google,No,No,1,3.0,1136,3.0,Page Visited on Website,India,IT Projects Management,Other,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Select,Mumbai,01.High,02.Medium,16.0,15.0,No,No,Modified
